App,Genres,Content Rating,Required Version,Last Updated,Current Version,Price($),Rating,Reviews,Size(kb)
Car games: drive car parking,"Games, Entertainment, Simulation, Racing",4+,13.0,2025-05-27,2,0.0,4.39574,25585,404123.0
Ertah (Auto & Vehicles),Business,4+,15.0,2025-09-21,2.1.12,0.0,3.16667,18,149042.0
VINwiki,"Lifestyle, Social Networking",9+,16.0,2024-08-06,2024.06.01,0.0,4.78329,4144,12075.0
CRAFTSMAN Auto Assist,"Utilities, Lifestyle",4+,14.2,2021-01-16,21.04,0.0,4.56349,252,38675.0
AutoMotion,"Shopping, Lifestyle",17+,14.0,2025-09-24,3.6.3,0.0,4.51314,875,9564.0
MyCar Controls,"Lifestyle, Utilities",17+,9.3,2024-08-26,4.4.14,0.0,2.80508,118,121323.0
VIN Check & Decoder,"Utilities, Reference",4+,12.0,2020-09-18,2.0,0.0,4.85003,1487,33124.0
"SIXT rent, share, ride & plus","Travel, Lifestyle",4+,,2025-09-18,9.155.0,0.0,4.89302,60721,462920.0
Autovit.ro:  Car Marketplace,"Shopping, Lifestyle",4+,15.0,2025-09-25,3.60.9,0.0,4.76623,77,154575.0
CL6,"Lifestyle, Utilities",4+,9.3,2024-08-26,4.4.14,0.0,2.96703,273,125855.0
Turbo.az,Shopping,4+,12.4,2025-08-11,61.1,0.0,4.89473,152,50447.0
AutoScout24: Switzerland,"Business, Lifestyle",4+,14.0,2025-09-18,9.18.0,0.0,4.66857,175,145422.0
Automotive News,News,4+,15.0,2025-05-01,1.9.5,0.0,4.88497,1165,116694.0
Auto & Automotive News,"News, Lifestyle",12+,16.6,2025-08-07,7.1.0,0.0,4.59999,40,66875.0
Автокод: проверка авто,"Reference, Utilities",4+,13.0,2024-02-27,2.9.0,0.0,4.46154,13,28346.0
GOODCAR: Vehicle History Check,"Utilities, Reference",4+,15.0,2025-09-26,2.1.7,0.0,4.17391,161,64551.0
BeautyPlus-Selfie Photo Editor,"Photo & Video, Graphics & Design",9+,13.0,2025-09-26,7.20.0,0.0,4.81991,337757,580023.0
Perfect365 Makeup Photo Editor,"Lifestyle, Photo & Video",4+,15.0,2025-09-04,10.4.32,0.0,4.83655,179121,289165.0
BeautyCam-AI Photo Editor,"Photo & Video, Social Networking",12+,13.0,2025-09-26,12.8.20,0.0,4.78254,18579,495664.0
FaceApp: Perfect Face Editor,"Photo & Video, Entertainment",9+,16.0,2025-09-20,12.12.2,0.0,4.7313,1693200,167250.0
BeautyUp－AI Face & Body Editor,"Photo & Video, Graphics & Design",4+,16.0,2025-09-23,2.409.0,0.0,4.74044,13727,419255.0
PrettyUp- AI Body Editor Video,Photo & Video,12+,15.0,2025-09-21,8.7.50,0.0,4.63364,9518,454759.0
Beauty Editor : Face Retouch,Photo & Video,4+,15.0,2025-08-20,5.8,0.0,4.63542,14455,190364.0
YouCam Perfect: Beauty Camera,"Photo & Video, Entertainment",4+,16.0,2025-09-18,6.11.0,0.0,4.77416,114340,266193.0
YouCam Makeup: Face Editor,"Photo & Video, Lifestyle",9+,16.0,2025-09-07,6.36.0,0.0,4.75242,149433,265904.0
Persona: AI Beauty Camera,"Photo & Video, Entertainment",4+,15.0,2025-09-24,1.14.20,0.0,4.77837,32703,231293.0
SODA - Natural Beauty Camera,"Photo & Video, Lifestyle",4+,15.0,2025-09-26,9.3.20,0.0,4.75066,10664,234506.0
Airbrush: Face Photo Editor,"Photo & Video, Graphics & Design",4+,13.0,2025-09-24,7.17.1,0.0,4.80015,190604,552160.0
Peachy - AI Face & Body Editor,"Photo & Video, Entertainment",4+,15.0,2025-08-17,2.6.2,0.0,4.85726,154766,243576.0
Ulta Beauty: Makeup & Skincare,"Shopping, Lifestyle",4+,17.6,2025-09-23,10.5,0.0,4.87147,2009279,227145.0
B612 AI Photo&Video Editor,Photo & Video,4+,15.0,2025-09-03,14.4.10,0.0,4.64907,109374,250888.0
Facetune: Video & Photo Editor,"Photo & Video, Lifestyle",4+,17.0,2025-09-21,3.104,0.0,4.61967,346705,456309.0
Sephora US: Makeup & Skincare,"Shopping, Lifestyle",12+,15.0,2025-09-12,25.18,0.0,4.88626,424700,245724.0
Meitu- Photo & Video Editor,"Photo & Video, Social Networking",4+,13.0,2025-09-25,11.20.0,0.0,4.79588,76216,617905.0
IPSY: Personalized Beauty,Shopping,4+,15.1,2025-09-12,4.0.0,0.0,4.81186,224724,66720.0
Beauty Care!,"Games, Entertainment, Role Playing, Simulation",12+,13.0,2025-08-05,4.7.0,0.0,4.37774,328994,221375.0
SNOW - AI Profile,Photo & Video,4+,15.0,2025-09-25,14.5.1,0.0,4.62047,36717,256380.0
Camera360-Selfie Editor,"Photo & Video, Entertainment",4+,13.0,2025-07-03,10.02.21,0.0,4.665,14451,461963.0
YesStyle - Beauty & Fashion,"Shopping, Business",4+,13.1,2025-09-23,4.6.0,0.0,4.77536,72250,79391.0
Bestie-Portrait Selfie Editor,"Photo & Video, Utilities",4+,9.0,2022-12-01,4.4.3,0.0,4.53841,10557,161591.0
Facelab: Face & Body Editor,Photo & Video,12+,17.0,2025-08-25,2.81,0.0,4.63706,78983,531504.0
Brandefy: Affordable Beauty,"Shopping, Lifestyle",12+,13.0,2025-06-02,6.8.7,0.0,4.85029,10634,95218.0
StyleSeat - Salon Appointments,Lifestyle,4+,14.0,2025-09-22,150.5.0,0.0,4.9149,278130,79056.0
MakeupPlus- AI Portrait,"Photo & Video, Utilities",4+,13.0,2025-06-25,6.8.4,0.0,4.63332,12065,410265.0
SALLY BEAUTY,"Shopping, Lifestyle",4+,15.6,2025-09-25,5.29.0,0.0,4.79066,66479,117292.0
Perfect Wax 3D: ASMR Makeover,"Games, Simulation, Casual",12+,13.0,2024-02-14,1.6.3,0.0,4.43856,37030,374624.0
"Sephora UAE: Beauty,Make up","Shopping, Lifestyle",4+,15.0,2025-08-30,8.34,0.0,4.47633,1669,96028.0
INCI Beauty,Health & Fitness,4+,14.0,2025-08-29,1.47.3,0.0,4.76944,360,70846.0
ASOS - Discover Fashion Online,"Shopping, Lifestyle",4+,15.0,2025-09-24,5.56.0,0.0,4.85968,499309,171469.0
Beauty Tiles: Story & Makeover,"Games, Entertainment, Puzzle, Casual",12+,13.0,2025-08-21,2.5.5,0.0,4.94737,11001,630765.0
Perfect Beauty Salon,"Games, Simulation, Entertainment, Casual",12+,15.6,2025-07-30,3.2,0.0,4.62833,9172,576441.0
Cymera,"Photo & Video, Social Networking",4+,10.0,2025-09-25,4.5.2,0.0,4.08219,876,212299.0
Macy's: Online Shopping & Save,"Shopping, Lifestyle",4+,15.0,2025-09-25,2509.2.0,0.0,4.85412,2094261,188968.0
Makeover Studio: Makeup Games,"Games, Simulation, Entertainment",12+,12.0,2023-11-14,3.7,0.0,4.5204,114343,368674.0
Photo Editor - Image Beauty,"Shopping, Reference",17+,12.0,2023-11-24,3.11,0.0,4.16069,3902,103809.0
BEAUTY BAY,Shopping,4+,15.1,2025-09-11,19.0.0,0.0,4.75438,3314,43821.0
Lush Fresh Handmade Cosmetics,"Shopping, Lifestyle",4+,16.4,2025-09-03,5.2.5,0.0,4.6311,6544,83606.0
Makeup Games: Back-to-School,"Entertainment, Lifestyle",12+,9.0,2021-11-11,2.8,0.0,4.37019,14330,217862.0
Nykaa – Makeup/Beauty Shopping,"Shopping, Lifestyle",12+,15.0,2025-09-26,4.9.1,0.0,4.41502,1624,127685.0
"Retouch Me: Face, Body Editor","Photo & Video, Graphics & Design",4+,15.5,2025-09-05,6.3.1,0.0,4.41245,18019,782530.0
CosmoProf Beauty,"Shopping, Business",4+,14.0,2025-06-18,1.28.0,0.0,4.65359,10072,97467.0
PRIV - Salon delivered to you,"Lifestyle, Health & Fitness",4+,13.0,2025-09-12,21.3.7,0.0,4.81118,3416,57803.0
LOOKFANTASTIC: Beauty & Makeup,Shopping,4+,13.4,2025-09-22,2.65.0,0.0,4.78069,953,102699.0
Covet Fashion: Dress Up Game,"Games, Shopping, Simulation, Role Playing",12+,12.0,2025-09-11,25.02.215,0.0,4.44616,163740,207663.0
Prêt à Makeup,"Graphics & Design, Lifestyle",4+,17.5,2025-09-24,2.9.2,0.0,4.4177,37734,294664.0
Gold Apple: beauty store,"Shopping, Lifestyle",12+,15.0,2025-09-22,5.38.0,0.0,4.90882,7074,223921.0
Google Play Books & Audiobooks,"Books, Reference",4+,17.0,2025-09-12,25.9.0,0.0,4.43152,9580,86514.0
CloudLibrary,"Books, Reference",4+,15.0,2025-08-12,5.12.2,0.0,4.75019,224032,162749.0
Margins: Book Tracker,"Books, Reference",12+,17.0,2025-09-26,2025.09.25+603,0.0,4.88394,4489,91801.0
BookBuddy: Book Tracker,"Books, Reference",4+,17.0,2025-08-06,9.8.2,0.0,4.83926,12424,30148.0
Deutsch Wörterbuch & Thesaurus,"Reference, Education",4+,15.0,2024-07-02,5.0.11,0.0,4.84956,678,70817.0
BookBuddy Pro: Book Tracker,"Books, Reference",4+,17.0,2025-08-06,9.8.2,9.99,4.84243,5515,30164.0
ختمة,"Reference, Books",4+,11.0,2022-04-09,5.1,0.0,4.73301,2060,260453.0
Zotero,"Productivity, Education",4+,16.6,2025-09-18,1.0.54,0.0,4.66125,369,142575.0
JoCoLibrary,"Books, Reference",4+,16.0,2025-07-02,2.19.0,0.0,3.7,20,18682.0
PubMed On Tap,"Medical, Reference",4+,15.0,2024-08-25,2.18.1,2.99,4.78842,1002,4800.0
Teach Yourself Library,"Education, Reference",4+,15.6,2025-09-01,2.5,0.0,3.87413,143,94390.0
Seattle Public Library,"Books, Reference",4+,16.0,2025-08-02,1.5.0,0.0,4.5625,16,53044.0
Chicago Public Library,"Books, Reference",4+,16.0,2025-09-15,2.20.0,0.0,3.32727,55,28111.0
Davis Drug Guide For Nurses,"Medical, Health & Fitness",17+,14.3,2024-07-18,6.7.3.579,0.0,4.80875,8136,150566.0
BSPBooks - Pharmamed & BSP,"Education, Reference",12+,15.6,2025-08-06,4.1.6,0.0,0.0,0,67713.0
iCollect Books: Library List,"Books, Reference",4+,15.0,2025-09-22,9.3.8,0.0,4.56507,3842,26751.0
"Bible: Chat, Widgets, Audio","Reference, Books",4+,15.0,2025-06-27,8.3.1,0.0,4.32829,265,98584.0
Naperville Public Library,"Reference, Books",4+,16.0,2025-07-02,2.19.0,0.0,3.16667,12,18350.0
Grand Rapids Public Library,"Reference, Books",4+,16.0,2025-07-02,2.19.0,0.0,5.0,7,18230.0
Sno-Isle Libraries,Books,4+,16.0,2025-07-02,2.19.0,0.0,4.33333,24,18186.0
ReciMe: Recipes & Meal Planner,"Food & Drink, Social Networking",9+,17.0,2025-09-18,4.4.3,0.0,4.80848,129052,201514.0
Dayton Metro Library,"Education, Reference",4+,15.6,2025-09-17,8.0.9,0.0,4.33333,15,24941.0
EndNote,"Productivity, Reference",17+,15.0,2025-02-26,3.6.1,0.0,2.61728,162,93243.0
MMBookshelf,"Reference, News",4+,10.0,2022-06-01,1.1.9,0.0,4.52956,1133,37932.0
Kenton County Public Library,"Reference, Books",4+,16.0,2025-07-17,2.19.0,0.0,4.0,2,19254.0
Greenwich Library,"Books, Reference",4+,16.0,2025-07-02,2.19.0,0.0,4.5,2,18410.0
My RCLreads,"Reference, Books",4+,16.0,2025-07-02,2.19.0,0.0,5.0,2,18306.0
TRL Go,"Books, Reference",4+,16.0,2025-07-18,2.19.0,0.0,4.375,8,18486.0
Cite It Now: Easy referencing,"Reference, Education",4+,12.0,2020-10-18,1.3,0.0,4.41475,217,32604.0
Columbus Metropolitan Library,"Reference, Books",4+,16.0,2025-07-02,2.19.0,0.0,3.69231,39,18314.0
ISBN Scan: Book Info & Ratings,"Books, Reference",4+,12.0,2024-08-08,1.0.3,0.0,0.0,0,31520.0
St. Joseph County Library,"Reference, Books",4+,15.0,2025-03-31,2.18.0,0.0,3.66667,3,26622.0
Olathe Public Library,"Reference, Books",4+,16.0,2025-07-02,2.19.0,0.0,0.0,0,18018.0
Mid Continent Public Library,"Reference, Books",4+,16.0,2025-07-17,2.19.0,0.0,3.88889,9,18274.0
BrowZine,Education,4+,12.0,2025-06-02,2.25.1,0.0,4.08065,62,48439.0
Anythink Libraries,"Books, Reference",4+,14.0,2025-08-15,2025.08.00,0.0,4.42856,7,14764.0
Plano Public Library,"Books, Reference",4+,16.0,2025-04-11,1.0.3,0.0,5.0,6,56101.0
Bookends,"Productivity, Medical",4+,15.0,2025-05-06,4.2.2,0.0,4.678,382,80029.0
Modellers Reference Library,Reference,4+,10.0,2018-07-05,6.0.0,0.0,5.0,4,31219.0
Libraries Online,"Books, Reference",4+,14.0,2025-08-15,2025.08.00,0.0,4.92307,65,14724.0
BiblioTech Public Library,"Books, Reference",4+,15.6,2025-05-27,2025.22,0.0,5.0,4,49194.0
Scofield Reference Bible Note,"Books, Education",4+,12.0,2022-06-01,5.1,0.0,4.84832,2525,17751.0
Booxtack,"Books, Reference",4+,12.0,2020-12-11,1.0.1,0.0,5.0,5,21147.0
Vocabulary - Learn words daily,"Education, Reference",4+,16.0,2025-09-23,6.2.0,0.0,4.7994,166681,221854.0
Santa Cruz Public Libraries,"Reference, Education",4+,14.0,2025-08-15,2025.08.00,0.0,3.0,3,16800.0
الموسوعة الفقهية,"Reference, Books",4+,10.0,2018-05-28,1.0,0.0,3.89474,19,43890.0
References On Tap,"Productivity, Education",4+,15.0,2025-05-06,1.9.1,0.0,4.70946,296,70137.0
mySAPL,"Reference, Books",4+,16.0,2025-06-26,2.19.0,0.0,3.66667,24,18246.0
BookSeeker...,"Books, Reference",4+,15.1,2025-08-18,1.0,0.0,5.0,3,20363.0
SDPL To Go,"Reference, Books",4+,16.0,2025-07-02,2.19.0,0.0,4.5,16,18334.0
WhatsApp Business,"Business, Productivity",12+,15.1,2025-09-22,25.26.72,0.0,4.71705,1228640,250041.0
Meta Business Suite,"Business, Social Networking",4+,15.1,2025-09-24,460.0,0.0,4.67235,422455,262312.0
Business Empire: RichMan,"Games, Simulation",4+,13.0,2025-06-06,1.23.03,0.0,4.57448,28967,413261.0
QuickBooks Business Accounting,"Business, Finance",4+,16.0,2025-09-23,25.09.5,0.0,4.73107,218856,583469.0
PayPal Business,"Business, Finance",4+,14.0,2025-04-24,2025.04.24,0.0,4.19428,29345,391548.0
HoneyBook - Small Business CRM,"Business, Productivity",4+,15.6,2025-09-17,1.50.1,0.0,4.76973,14848,101971.0
Popl: Digital Business Card,"Business, Productivity",4+,16.1,2025-09-19,7.9.0,0.0,4.82534,89950,112394.0
Mindbody Business,"Business, Health & Fitness",4+,16.0,2025-09-22,7.53.0,0.0,4.57289,22767,100897.0
Shopify - Your Ecommerce Store,"Business, Productivity",4+,15.1,2025-09-20,10.2538.0,0.0,4.67058,29403,225376.0
Harvard Business Review,"Business, Magazines & Newspapers",4+,13.4,2025-09-09,34.8.0,0.0,4.73183,14278,42236.0
Skip - Fund Your Business,"Finance, Business",4+,15.0,2025-02-13,2.46,0.0,4.80157,2938,58635.0
Amazon Business: B2B Shopping,Business,4+,15.0,2025-09-23,25.18.0,0.0,4.83185,15308,224804.0
Fiverr - Freelance Services,"Business, Lifestyle",4+,16.0,2025-09-12,3.57.2,0.0,4.918,548581,124213.0
Logo Maker Shop: AI Creator,"Graphics & Design, Photo & Video",4+,15.0,2025-09-26,2.5.4,0.0,4.75058,81433,343784.0
Squarespace: Run your business,"Productivity, Business",4+,17.4,2025-09-22,2.89.0,0.0,4.64943,18313,514386.0
Business Insider,"News, Business",4+,13.0,2025-08-27,16.2.2,0.0,4.58917,21729,105708.0
WhatsApp Messenger,"Social Networking, Utilities",12+,15.1,2025-09-22,25.26.72,0.0,4.69194,16514244,233698.0
Square Point of Sale (POS),"Business, Finance",4+,16.0,2025-09-24,6.78,0.0,4.81222,563914,997669.0
Nav Business Credit Builder,"Finance, Business",4+,15.0,2025-09-24,7.6.23,0.0,4.89706,18205,136873.0
Coursera: Grow your career,Education,4+,17.0,2025-09-15,7.20.0,0.0,4.84712,158080,58892.0
ZenBusiness: LLC & Compliance,"Business, Finance",4+,17.0,2025-09-12,2025.17,0.0,4.66882,1395,56619.0
GoDaddy Studio for Business,"Business, Graphics & Design",4+,17.4,2025-09-18,8.66.0,0.0,4.83113,105599,108515.0
Meta Ads Manager,"Business, Social Networking",4+,15.1,2025-09-25,446.0,0.0,4.47151,40118,93037.0
Yelp for Business App,Business,12+,17.0,2025-09-22,25.38.0,0.0,3.97409,17830,199092.0
Google Ads,"Business, Utilities",4+,15.0,2025-09-24,3.16.807083888,0.0,4.4192,4282,246831.0
Blinq: Digital Business Card,"Business, Productivity",4+,17.0,2025-09-22,1.73.1,0.0,4.88211,107128,253873.0
Bloomberg: Business News Daily,"News, Finance",4+,15.6,2025-09-16,6.47.0,0.0,4.59276,53546,60948.0
alrajhi bank business,"Finance, Business",4+,11.0,2025-09-26,4.2.5,0.0,4.71598,3285,153353.0
LinkedIn: Network & Job Finder,Business,12+,16.6,2025-09-24,9.1.482,0.0,4.75931,529309,409043.0
Business Plan for Startups,"Business, Books",4+,10.0,2019-08-01,4.4.1,0.0,4.53576,2251,31483.0
Udemy Business,"Business, Education",4+,17.2,2025-09-04,8.93.0,0.0,4.75912,5949,133648.0
